Dòng xe,mean,std
125/250,-1307944.4299999978,
67,3839826.8595080515,12981195.85028791
@,-1018334.7691558492,2609166.3609759626
ADV 150,1946673.4606666646,13184147.040410781
ADV 160,14801178.817916669,14606814.918617437
Acruzo,-766.3333333345363,2446977.3479929413
Air Blade,-74896.52798892916,4343325.4348812755
Angela,-648005.8333333333,2073000.6578333054
Attila,-53310.11133333411,1152885.0707906985
Axelo,-1834873.097738094,1606756.6705279462
BN 302,-3616224.997499995,4775410.287868748
BX 125,-7202598.979999997,
BX 150,10083801.367916677,15350200.283451077
Beat,-1072095.9700000025,4742176.445900688
Beverly,-1833583.333333334,
Blade,-561013.7643113558,3079423.029723201
Bonus,-2733000.000000002,
Bullet 500,4852000.020000003,
CB,3500158.670848039,11019932.418677038
CBR,1646135.0993209875,8584099.329243211
CD,4182893.888468752,5746747.961483654
CDR,-4020213.623333331,
CG125Fi,2395035.017999992,6005618.106003976
Candy Hi,-309019.7570370364,1490067.6703762778
Candy S,-30811.686666668207,1439199.8793024048
Cello,4155704.77190476,
Chaly,-1239151.7504761931,4699992.360575352
Citi,-606570.8333333395,2658888.6611899
Click,700944.123384621,6909097.072850813
Cub,-725823.9330805864,6174163.20036804
Cuxi,7951720.735952377,5848237.826223201
Demon 150GN,-2140091.7150000017,958259.3931046474
Demon 150GR,-2088495.193333406,
Demon X 125cc,-2263250.000000002,615536.453022887
Diavel,-941694.4249999914,
Django,8148412.558666648,5303669.872856416
Dream,-491228.5660849104,7801602.169171423
Duke 200,1056491.6700000018,4044495.820018203
Duke 250,-3759499.999999985,
Duke 390,5678750.015000004,2034699.741651081
Dylan,-402465.277083338,5825592.954751975
Dòng khác,407369.2552048729,8010225.101017597
EN,4614055.574999999,
ET8,-1666500.0000000019,
EZ,181419.99999999968,1098434.2403735423
Elegant,-482310.895128207,1127357.0531156173
Elite,-455907.40555554815,514178.2669177732
Elizabeth,46167.59302468941,839529.2645694558
Enjoy,-843818.7475000031,1534168.320074886
Epicuro,1439000.0000000037,8440930.739557046
Espero,-2894299.6898148153,2969734.51679382
Exciter,142632.12078666507,4784964.289207273
FX125,-2288500.0,
FZ,1005008.332592589,5053003.73867268
Feliz S,1804500.0,
Fly,-3511950.0000000014,2845431.671117765
Freego,-5410928.1997222295,6918102.541479798
Future,200622.759532967,7137957.0683884425
GD,-2065207.1513333344,2846658.0283078775
GN,-3134020.5871428563,5253211.597607119
GSX,172987.3190579722,3234082.0659535103
GT,9713666.666666672,1691870.8251190057
GTS,895143.6476691795,4309489.569073105
GZ,5747077.780555555,7109276.057915369
Galaxy,-1841239.8142592637,3347242.312216829
Giorno,-3992477.7766666654,3494454.8916450804
Grande,284111.87159090023,1975528.1275712445
Hayate,-192655.12559523678,781416.9411618421
Husky,-1314083.3308333326,6546319.477286014
Impulse,-981539.2842857098,1030156.1346773256
Janus,-407537.7796525128,1409098.849614887
Jockey Fi,-255397.5,732064.1150285268
Joyride,-122231.33333333358,672714.6260719392
Jupiter,-115170.3758313838,1424157.0889420519
